scen_num,sample_num,capacity_multiplier,exp_name,date,group_id,reopen,delay,rollback,crit_det,date_min,date_max,type,subtype,days_above
899,81,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-11,855,50perc,1daysdelay,weak (20%),517,2020-12-11,2021-01-10,threshold,above_threshold,30.3398926654734
1647,149,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-12,1555,50perc,1daysdelay,weak (20%),517,2020-12-12,2021-01-05,threshold,above_threshold,24.6511627907002
877,79,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-13,833,50perc,1daysdelay,weak (20%),535,2020-12-13,2021-02-01,threshold,above_threshold,50.2504472271905
983,89,0.4,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-13,935,50perc,1daysdelay,weak (20%),519,2020-12-13,2021-02-03,threshold,above_threshold,52.1466905187815
1414,128,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-13,1343,50perc,1daysdelay,weak (20%),521,2020-12-13,2021-01-20,threshold,above_threshold,38.8729874776359
778,70,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-13,739,50perc,1daysdelay,weak (20%),539,2020-12-13,2021-01-21,threshold,above_threshold,38.8729874776414
1209,109,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-13,1155,50perc,1daysdelay,weak (20%),517,2020-12-13,2021-02-04,threshold,above_threshold,52.1466905187843
1253,113,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-13,1188,50perc,1daysdelay,weak (20%),532,2020-12-13,2021-02-16,threshold,above_threshold,64.4722719141317
1504,136,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-13,1429,50perc,1daysdelay,weak (20%),516,2020-12-13,2020-12-31,threshold,above_threshold,17.0661896243305
1605,145,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-14,1517,50perc,1daysdelay,weak (20%),526,2020-12-14,2021-01-16,threshold,above_threshold,32.2361359570672
1746,158,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-14,1651,50perc,1daysdelay,weak (20%),520,2020-12-14,2021-01-22,threshold,above_threshold,38.8729874776387
1891,171,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-14,1792,50perc,1daysdelay,weak (20%),518,2020-12-14,2021-01-31,threshold,above_threshold,47.4060822898012
1282,116,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-15,1215,50perc,1daysdelay,weak (20%),516,2020-12-15,2020-12-29,threshold,above_threshold,13.2737030411456
1416,128,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-15,1345,50perc,1daysdelay,weak (20%),524,2020-12-15,2021-01-19,threshold,above_threshold,35.0805008944538
