date,rt_median,scen_num,reopen
2020-10-15,1.13273176742667,63,50perc
2020-10-15,1.12215853894011,65,50perc
2020-10-15,1.11873086770442,66,50perc
2020-10-15,1.12222240631707,69,50perc
2020-10-15,1.13778506347311,71,50perc
2020-10-15,1.12495639175435,73,50perc
2020-10-15,1.10599339470146,81,50perc
2020-10-15,1.12184401960985,101,50perc
2020-10-15,1.12475386638752,102,50perc
2020-10-15,1.11706859218374,104,50perc
2020-10-15,1.12657309358713,110,50perc
2020-10-15,1.15474644931193,111,50perc
2020-10-15,1.14470461063747,116,50perc
2020-10-15,1.12706931879661,122,50perc
2020-10-15,1.13479962234001,127,50perc
2020-10-15,1.11498108831679,134,50perc
2020-10-15,1.10833339843397,137,50perc
2020-10-15,1.11387634998162,140,50perc
2020-10-15,1.12064699510992,144,50perc
2020-10-15,1.10471460428497,147,50perc
2020-10-15,1.12394897840305,149,50perc
2020-10-15,1.12836170018563,150,50perc
2020-10-15,1.11265267873985,151,50perc
2020-10-15,1.10622597406511,152,50perc
2020-10-15,1.129684228303,156,50perc
2020-10-15,1.13756357502062,157,50perc
2020-10-15,1.12900497857004,159,50perc
2020-10-15,1.10613409522132,164,50perc
2020-10-15,1.14734646369302,165,50perc
2020-10-15,1.13043121460283,175,50perc
2020-10-15,1.1261496679011,195,50perc
2020-10-15,1.1257824788794,199,50perc
2020-10-15,1.12862421898359,211,50perc
2020-10-15,1.13316572992559,212,50perc
2020-10-15,1.1256181437253,223,50perc
2020-10-15,1.12374666917782,224,50perc
2020-10-15,1.12617749241206,225,50perc
2020-10-15,1.10825501494522,227,50perc
2020-10-15,1.13192046432889,231,50perc
2020-10-15,1.12369985583649,234,50perc
2020-10-15,1.13994025412836,235,50perc
2020-10-15,1.14059783460664,245,50perc
2020-10-15,1.12487724707349,253,50perc
2020-10-15,1.11694037617709,258,50perc
2020-10-15,1.11759377254082,259,50perc
2020-10-15,1.096248201375,262,50perc
2020-10-15,,264,50perc
2020-10-15,1.10075316854935,266,50perc
2020-10-15,1.11733531422349,269,50perc
2020-10-15,1.11327688899596,271,50perc
2020-10-15,1.11350893168219,272,50perc
2020-10-15,1.13080181868139,274,50perc
2020-10-15,1.12902909514373,276,50perc
2020-10-15,1.12184559849662,277,50perc
2020-10-15,1.11951924396902,278,50perc
2020-10-15,1.13745023818598,279,50perc
2020-10-15,1.13268815528993,281,50perc
2020-10-15,1.13328053565716,284,50perc
2020-10-15,1.12583732230989,293,50perc
2020-10-15,1.13593466024683,294,50perc
2020-10-15,1.13543475102426,295,50perc
2020-10-15,1.11935714369198,296,50perc
2020-10-15,1.14812941111362,297,50perc
2020-10-15,1.10825146790574,300,50perc
2020-10-15,1.12812942501852,310,50perc
2020-10-15,1.12956758871102,317,50perc
2020-10-15,1.12903020159235,319,50perc
